t (s)	ag (m/s^2)
0	-0.0004219
0.01	-0.000437
0.02	-0.0004237
0.03	-0.0004388
0.04	-0.0004253
0.05	-0.0004405
0.06	-0.0004271
0.07	-0.0004421
0.08	-0.0004289
0.09	-0.0004436
0.1	-0.0004304
0.11	-0.0004463
0.12	-0.0004315
0.13	-0.0004465
0.14	-0.0004332
0.15	-0.0004496
0.16	-0.0004371
0.17	-0.0004491
0.18	-0.0004351
0.19	-0.0004504
0.2	-0.0004362
0.21	-0.000455
0.22	-0.0004374
0.23	-0.0004538
0.24	-0.0004389
0.25	-0.0004563
0.26	-0.0004433
0.27	-0.0004512
0.28	-0.0004433
0.29	-0.0004543
0.3	-0.000439
0.31	-0.0004651
0.32	-0.0004388
0.33	-0.0004576
0.34	-0.0004475
0.35	-0.0004593
0.36	-0.0004459
0.37	-0.0004678
0.38	-0.0004633
0.39	-0.0004522
0.4	-0.0004467
0.41	-0.0004904
0.42	-0.0004521
0.43	-0.0004469
0.44	-0.0004367
0.45	-0.0004635
0.46	-0.0004489
0.47	-0.0004744
0.48	-0.000436
0.49	-0.0004396
0.5	-0.0004602
0.51	-0.0004693
0.52	-0.0004572
0.53	-0.0004784
0.54	-0.0004498
0.55	-0.0004842
0.56	-0.0004673
0.57	-0.0004726
0.58	-0.0004673
0.59	-0.0004645
0.6	-0.0004276
0.61	-0.0004916
0.62	-0.0004578
0.63	-0.0004698
0.64	-0.0004809
0.65	-0.0004705
0.66	-0.0004549
0.67	-0.0004854
0.68	-0.000443
0.69	-0.0004587
0.7	-0.0004569
0.71	-0.0005117
0.72	-0.0004912
0.73	-0.0004696
0.74	-0.0004521
0.75	-0.0004687
0.76	-0.000408
0.77	-0.000467
0.78	-0.0005151
0.79	-0.0004427
0.8	-0.0004421
0.81	-0.000543
0.82	-0.000457
0.83	-0.0004768
0.84	-0.0004921
0.85	-0.0005181
0.86	-0.0004584
0.87	-0.0004697
0.88	-0.0004132
0.89	-0.000432
0.9	-0.0004613
0.91	-0.0004643
0.92	-0.000477
0.93	-0.0004454
0.94	-0.0003954
0.95	-0.0004499
0.96	-0.0004737
0.97	-0.0004243
0.98	-0.0004347
0.99	-0.000483
1	-0.0004024
1.01	-0.0005823
1.02	-0.0005732
1.03	-0.0005153
1.04	-0.0004045
1.05	-0.0004599
1.06	-0.0004875
1.07	-0.0004711
1.08	-0.0004701
1.09	-0.0003953
1.1	-0.0004505
1.11	-0.0005018
1.12	-0.0003837
1.13	-0.0004
1.14	-0.0004134
1.15	-0.0005349
1.16	-0.0003821
1.17	-0.0003672
1.18	-0.0004391
1.19	-0.0004481
1.2	-0.000406
1.21	-0.0005064
1.22	-0.000695
1.23	-0.0005749
1.24	-0.0003682
1.25	-0.0004831
1.26	-0.0004576
1.27	-0.0003264
1.28	-0.0003658
1.29	-0.0003357
1.3	-0.0003847
1.31	-0.0005052
1.32	-0.0002548
1.33	-0.0004235
1.34	-0.0004665
1.35	-0.0003635
1.36	-0.0004475
1.37	-0.000528
1.38	-0.0005746
1.39	-0.0004121
1.4	-0.0004371
1.41	-0.0005102
1.42	-0.0003945
1.43	-0.0004135
1.44	-0.0002521
1.45	-0.0003118
1.46	-0.0005287
1.47	-0.0005447
1.48	-0.0002859
1.49	-0.0003896
1.5	-0.0003772
1.51	-0.0004647
1.52	-0.0003193
1.53	-0.0003211
1.54	-0.0005224
1.55	-0.0006878
1.56	-0.0004322
1.57	-0.0002456
1.58	-0.0006163
1.59	-0.0005983
1.6	-0.0004688
1.61	-0.0005625
1.62	-0.0003127
1.63	-0.0005107
1.64	-0.0003372
1.65	-0.0003243
1.66	-0.0004152
1.67	-0.0003225
1.68	-0.0003468
1.69	-0.0004564
1.7	-0.0005783
1.71	-0.000405
1.72	-0.0001595
1.73	-0.0004663
1.74	-0.0003279
1.75	-0.0003048
1.76	-0.0004525
1.77	-0.0003409
1.78	-0.0003182
1.79	-0.0004108
1.8	-0.0003196
1.81	-0.000478
1.82	-0.0005121
1.83	-0.0005379
1.84	-0.0005212
1.85	-0.0005715
1.86	-0.0000881
1.87	-0.0004307
1.88	-0.0007176
1.89	-0.0000552
1.9	-0.0000687
1.91	-0.0004138
1.92	-0.0002851
1.93	-0.0003554
1.94	-0.0003408
1.95	-0.0003529
1.96	-0.0003279
1.97	-0.0003482
1.98	-0.0005545
1.99	-0.0006615
2	-0.0002516
2.01	-0.0003484
2.02	-0.000387
2.03	-0.0001421
2.04	-0.0008008
2.05	-0.0008835
2.06	-0.0002815
2.07	-0.0003238
2.08	-0.0005747
2.09	-0.0003928
2.1	-0.0000548
2.11	-0.0003305
2.12	-0.0002173
2.13	-0.0002607
2.14	-0.0005188
2.15	-0.0006163
2.16	0.0000299
2.17	-0.000223
2.18	-0.0005288
2.19	-0.0001511
2.2	-0.0003085
2.21	-0.0002983
