t(s)	ag (m/s^2)
0	3.8807E-07
0.01	3.8399E-07
0.02	3.799E-07
0.03	3.7581E-07
0.04	3.7173E-07
0.05	3.6764E-07
0.06	3.6355E-07
0.07	3.5946E-07
0.08	3.5537E-07
0.09	3.5127E-07
0.1	3.4718E-07
0.11	3.4309E-07
0.12	3.3899E-07
0.13	3.349E-07
0.14	3.308E-07
0.15	3.2671E-07
0.16	3.2261E-07
0.17	3.1851E-07
0.18	3.1442E-07
0.19	3.1032E-07
0.2	3.0622E-07
0.21	3.0212E-07
0.22	2.9801E-07
0.23	2.9391E-07
0.24	2.8981E-07
0.25	2.8571E-07
0.26	2.816E-07
0.27	2.7761E-06
0.28	-7.2225E-06
0.29	-7.2266E-06
0.3	-7.2307E-06
0.31	-0.000017229
0.32	-0.000017233
0.33	-0.000017238
0.34	-0.000017242
0.35	-0.000017246
0.36	-0.00001725
0.37	2.7351E-06
0.38	-7.2636E-06
0.39	-7.2677E-06
0.4	-7.2718E-06
0.41	-0.00001727
0.42	-0.000027288
0.43	-0.000017279
0.44	-7.2882E-06
0.45	-0.000017287
0.46	-0.000017291
0.47	-0.000017295
0.48	-0.000017299
0.49	-7.3088E-06
0.5	-0.000017307
0.51	-0.000017312
0.52	-7.3212E-06
0.53	-0.00001732
0.54	-0.000017324
0.55	-0.000017328
0.56	-0.000017332
0.57	-0.000017336
0.58	-7.3459E-06
0.59	-0.000017344
0.6	-0.000017349
0.61	-7.3582E-06
0.62	-7.3623E-06
0.63	-7.3665E-06
0.64	-7.3706E-06
0.65	-7.3747E-06
0.66	-0.000017373
0.67	-0.000017377
0.68	-0.000017382
0.69	-0.000027399
0.7	-0.00001739
0.71	-7.3994E-06
0.72	-7.4035E-06
0.73	-7.4077E-06
0.74	-0.000017406
0.75	-0.00001741
0.76	-0.000017415
0.77	-0.000017419
0.78	-0.000017423
0.79	-7.4324E-06
0.8	-0.000017431
0.81	-0.000017435
0.82	2.5497E-06
0.83	-0.000017443
0.84	-0.000007453
0.85	-7.4571E-06
0.86	-0.000017456
0.87	-7.4654E-06
0.88	-0.000017464
0.89	-0.000027482
0.9	-7.4777E-06
0.91	-7.4819E-06
0.92	-0.000007486
0.93	-7.4901E-06
0.94	-7.4942E-06
0.95	-7.4984E-06
0.96	-7.5025E-06
0.97	-7.5066E-06
0.98	-0.000017505
0.99	-7.5149E-06
1	-0.000007519
1.01	-0.000017518
1.02	-0.000017522
1.03	-0.000017526
1.04	-7.5355E-06
1.05	-7.5396E-06
1.06	-7.5437E-06
1.07	-0.000017542
1.08	-7.5519E-06
1.09	-0.000017551
1.1	-0.000017555
1.11	2.4302E-06
1.12	-0.000017563
1.13	-0.000027581
1.14	-7.5767E-06
1.15	-0.000017575
1.16	-0.000017579
1.17	-0.000007589
1.18	-7.5931E-06
1.19	-7.5973E-06
1.2	-0.000017596
1.21	-7.6055E-06
1.22	-0.000017604
1.23	-0.000017608
1.24	-0.000017612
1.25	-0.000017616
1.26	-7.6261E-06
1.27	-7.6302E-06
1.28	-7.6343E-06
1.29	-7.6384E-06
1.3	-7.6425E-06
1.31	2.3479E-06
1.32	-7.6508E-06
1.33	2.3396E-06
1.34	-0.000007659
1.35	-0.000017658
1.36	-7.6672E-06
1.37	-0.000017666
1.38	-0.00001767
1.39	-7.6795E-06
1.4	-7.6836E-06
1.41	-7.6877E-06
1.42	-0.000017686
1.43	-0.00001769
1.44	-7.7001E-06
1.45	2.2903E-06
1.46	-0.000017703
1.47	-0.000017707
1.48	-0.000017711
1.49	-7.7206E-06
1.5	-7.7247E-06
1.51	-7.7288E-06
1.52	-7.7329E-06
1.53	-0.000007737
1.54	-7.7411E-06
1.55	-7.7452E-06
1.56	-7.7493E-06
1.57	-7.7534E-06
1.58	-7.7575E-06
1.59	-7.7616E-06
1.6	-7.7657E-06
1.61	-0.000017764
1.62	-0.000017768
1.63	-0.000007778
1.64	-0.000017777
1.65	-0.000017781
1.66	2.2043E-06
1.67	-7.7943E-06
1.68	2.1961E-06
1.69	0.000002192
1.7	-7.8066E-06
1.71	-7.8107E-06
1.72	-0.000017809
1.73	-0.000017813
1.74	-7.8229E-06
1.75	-0.000007827
1.76	-7.8311E-06
1.77	-7.8352E-06
1.78	2.1552E-06
1.79	-7.8433E-06
1.8	-7.8474E-06
1.81	0.000002143
1.82	-7.8556E-06
1.83	-7.8596E-06
1.84	-0.000017858
1.85	-7.8678E-06
1.86	-7.8719E-06
1.87	-0.00001787
1.88	-0.00000788
1.89	-0.000017879
1.9	-7.8881E-06
1.91	-7.8922E-06
1.92	-7.8963E-06
1.93	-7.9003E-06
1.94	-0.000027912
1.95	-0.000017903
1.96	-0.000017907
1.97	-0.000017911
1.98	-0.000017915
1.99	-7.9247E-06
2	2.0658E-06
2.01	-0.000017927
2.02	-7.9369E-06
2.03	-7.9409E-06
2.04	-0.000007945
2.05	-0.000017944
2.06	-0.000017948
2.07	-0.000017952
2.08	-0.000017956
2.09	-7.9652E-06
2.1	-7.9692E-06
2.11	-7.9733E-06
2.12	-0.000017972
2.13	-0.000017976
2.14	2.0091E-06
2.15	-7.9894E-06
2.16	-7.9935E-06
2.17	-7.9975E-06
2.18	-8.0015E-06
2.19	-8.0056E-06
2.2	-0.000018004
2.21	-0.000018008
2.22	-0.000018012
2.23	-8.0217E-06
2.24	-8.0257E-06
2.25	-8.0297E-06
2.26	-8.0337E-06
2.27	-8.0378E-06
2.28	-8.0418E-06
2.29	-8.0458E-06
2.3	-8.0498E-06
2.31	-8.0538E-06
2.32	-8.0578E-06
2.33	-0.000018056
2.34	-8.0658E-06
2.35	-8.0699E-06
2.36	-8.0739E-06
2.37	-8.0779E-06
2.38	-8.0819E-06
2.39	-8.0859E-06
2.4	-8.0899E-06
2.41	-8.0939E-06
2.42	-0.000018092
2.43	-0.000018096
2.44	-0.0000181
2.45	-0.000018104
2.46	-8.1138E-06
2.47	-8.1178E-06
2.48	1.8727E-06
2.49	1.8687E-06
2.5	-0.000018124
2.51	1.8608E-06
2.52	1.8568E-06
2.53	-0.000018136
2.54	-8.1456E-06
2.55	-8.1496E-06
2.56	-0.000018148
2.57	-8.1575E-06
2.58	-8.1615E-06
2.59	-8.1655E-06
2.6	-8.1694E-06
2.61	-8.1734E-06
2.62	1.8172E-06
2.63	-8.1813E-06
2.64	-8.1853E-06
2.65	-8.1892E-06
2.66	-8.1932E-06
2.67	1.7974E-06
