t (s)	ag (m/s^2)
0	0.06493
0.02	0.07023
0.04	0.08016
0.06	0.07366
0.08	0.05406
0.1	0.04239
0.12	0.01783
0.14	0.00445
0.16	0.00827
0.18	0.023
0.2	0.04466
0.22	0.04387
0.24	0.02119
0.26	0.02214
0.28	0.00747
0.3	0.01613
0.32	0.04575
0.34	0.04552
0.36	0.03439
0.38	0.02554
0.4	0.02583
0.42	0.09003
0.44	0.18219
0.46	0.21078
0.48	0.2371
0.5	0.26693
0.52	0.28677
0.54	0.22748
0.56	0.17488
0.58	0.09283
0.6	0.09652
0.62	0.1685
0.64	0.23231
0.66	0.25177
0.68	0.23147
0.7	0.34489
0.72	0.28473
0.74	-0.10917
0.76	-0.54484
0.78	-0.73805
0.8	-0.65656
0.82	-0.50893
0.84	-0.56024
0.86	-0.6302
0.88	-0.46339
0.9	-0.18096
0.92	0.09184
0.94	0.21319
0.96	0.13896
0.98	0.41787
1	0.80886
1.02	1.10191
1.04	1.09389
1.06	0.79395
1.08	0.66135
1.1	0.587
1.12	0.40466
1.14	0.12013
1.16	-0.23152
1.18	-0.5128
1.2	-0.30605
1.22	-0.52584
1.24	-0.78732
1.26	-0.9351
1.28	-0.7863
1.3	-0.68281
1.32	-0.67981
1.34	-0.7542
1.36	-0.5903
1.38	0.15192
1.4	0.08976
1.42	-0.03674
1.44	0.08651
1.46	0.06707
1.48	0.01521
1.5	0.25884
1.52	0.28567
1.54	0.36579
1.56	0.44004
1.58	0.81081
1.6	0.89158
1.62	0.30825
1.64	0.19582
1.66	-0.01612
1.68	-0.5888
1.7	-0.92314
1.72	-0.38073
1.74	-0.085
1.76	-0.44175
1.78	-0.67241
1.8	-0.83983
1.82	-1.28121
1.84	-1.38428
1.86	-0.65139
1.88	0.60832
1.9	1.26335
1.92	0.96737
1.94	0.8109
1.96	0.44502
1.98	-0.0593
2	-0.10641
2.02	0.37271
2.04	0.74055
2.06	0.90035
2.08	0.74038
2.1	0.35944
2.12	0.09441
2.14	-0.10479
2.16	-0.08064
2.18	-0.06058
2.2	0.04731
2.22	0.3577
2.24	0.66033
2.26	0.63751
2.28	0.3288
2.3	0.09079
2.32	-0.07394
2.34	0.01106
2.36	0.21025
2.38	0.1934
2.4	0.19365
2.42	0.06185
2.44	-0.01412
2.46	-0.04995
2.48	-0.2796
2.5	-1.00727
2.52	-1.86726
2.54	-2.51156
2.56	-2.9291
2.58	-3.28253
2.6	-3.69218
2.62	-4.3815
2.64	-4.84746
2.66	-4.39122
2.68	-2.65233
2.7	0.00727
2.72	-0.31256
2.74	-1.57946
2.76	-2.82408
2.78	-3.21283
2.8	-4.53173
2.82	-4.32651
2.84	-4.62578
2.86	-4.04973
2.88	-4.78137
2.9	-3.91807
2.92	-4.83766
2.94	-0.48645
2.96	14.16176
2.98	13.85844
3	14.68297
3.02	12.62674
3.04	5.37414
3.06	-1.91025
3.08	-4.20275
3.1	-2.42457
3.12	-2.86102
3.14	-3.17568
3.16	-3.42231
3.18	-3.28076
3.2	1.09978
3.22	4.15502
3.24	2.06088
3.26	3.20995
3.28	0.20395
3.3	-1.22373
3.32	-1.66895
3.34	-1.74155
3.36	-0.51371
3.38	0.36429
3.4	0.77904
3.42	-0.46195
3.44	-0.91481
3.46	-1.23969
3.48	-0.16522
3.5	2.155
3.52	1.28053
3.54	-0.47444
3.56	-0.21369
3.58	0.59056
3.6	1.14567
3.62	1.06358
3.64	0.78978
3.66	0.56305
3.68	0.06749
3.7	-0.6945
3.72	-1.69394
3.74	-2.07453
3.76	-1.44792
3.78	-0.0428
3.8	1.21482
3.82	1.89774
3.84	2.50841
3.86	1.92989
3.88	1.45442
3.9	1.57607
3.92	0.81162
3.94	-0.09023
3.96	-0.20562
3.98	0.40354
4	0.79541
4.02	0.56925
4.04	0.02344
4.06	0.19202
4.08	0.85425
4.1	1.34036
4.12	1.07346
4.14	-0.36638
4.16	-1.63959
4.18	-1.77623
4.2	0.37342
4.22	1.55552
4.24	1.09479
4.26	0.72999
4.28	1.30022
4.3	1.78319
4.32	2.46469
4.34	2.19841
