t (s)	ag (m/s^2)
0	0.0000041
0.02	0.0000135
0.04	0.0000042
0.06	0.0000137
0.08	0.0000043
0.1	0.000014
0.12	0.0000042
0.14	0.0000143
0.16	0.0000042
0.18	0.0000145
0.2	0.0000044
0.22	0.0000147
0.24	0.0000042
0.26	0.000015
0.28	0.0000043
0.3	0.0000151
0.32	0.0000042
0.34	0.0000152
0.36	0.0000045
0.38	0.0000155
0.4	0.0000039
0.42	0.0000158
0.44	0.0000035
0.46	0.0000159
0.48	0.0000043
0.5	0.0000152
0.52	0.000004
0.54	0.0000171
0.56	0.0000034
0.58	0.0000154
0.6	0.0000045
0.62	0.0000158
0.64	0.0000048
0.66	0.0000148
0.68	0.000005
0.7	0.0000163
0.72	0.0000029
0.74	0.0000168
0.76	0.0000016
0.78	0.0000181
0.8	0.0000009
0.82	0.0000185
0.84	0.0000025
0.86	0.0000138
0.88	0.0000047
0.9	0.0000163
0.92	0.0000015
0.94	0.0000171
0.96	0.0000035
0.98	0.0000136
1	0.0000029
1.02	0.0000158
1.04	0.0000011
1.06	0.0000191
1.08	0.0000014
1.1	0.0000163
1.12	-0.0000026
1.14	0.0000227
1.16	-0.000003
1.18	0.0000164
1.2	0.0000037
1.22	0.0000188
1.24	-0.0000036
1.26	0.0000161
1.28	0.0000024
1.3	0.0000155
1.32	0.0000024
1.34	0.0000138
1.36	0.0000048
1.38	0.0000149
1.4	-0.0000013
1.42	0.0000156
1.44	0.0000005
1.46	0.0000177
1.48	0.0000035
1.5	0.0000092
1.52	0.0000067
1.54	0.0000219
1.56	-0.0000229
1.58	-0.0000037
1.6	0.000011
1.62	0.0000074
1.64	0.0000071
1.66	0.0000234
1.68	0.0000263
1.7	0.000007
1.72	0.0000088
1.74	-0.0000077
1.76	-0.0000342
1.78	0.0000671
1.8	0.000001
1.82	-0.0000071
1.84	0.0000222
1.86	-0.0000243
1.88	-0.0000221
1.9	0.0000279
1.92	-0.0000087
1.94	0.0000256
1.96	0.0000037
1.98	-0.0000004
2	-0.000034
2.02	-0.0000096
2.04	0.0000657
2.06	-0.000013
2.08	-0.0000169
2.1	0.0000287
2.12	-0.0000279
2.14	0.000022
2.16	0.0000126
2.18	-0.0000363
2.2	0.0000253
2.22	0.0000731
2.24	-0.0000731
2.26	0.0000019
2.28	-0.0000389
2.3	0.0001198
2.32	-0.0000709
2.34	0.0000102
2.36	0.0000162
2.38	-0.0000115
2.4	-0.000005
2.42	-0.0000162
2.44	0.0000252
2.46	0.000051
2.48	-0.0000781
2.5	0.0000077
2.52	-0.0000036
2.54	0.0000087
2.56	0.0000026
2.58	0.0000435
2.6	-0.0000138
2.62	-0.0000022
2.64	-0.0000311
2.66	-0.0000386
2.68	0.0000613
2.7	0.0000133
2.72	-0.000028
2.74	0.0000084
2.76	-0.0000353
2.78	0.0000195
2.8	-0.0000262
2.82	0.0000527
2.84	0.0000031
2.86	-0.0000149
2.88	0.0000039
2.9	-0.0000166
2.92	-0.0000243
2.94	0.000031
2.96	0.0000241
2.98	-0.0000567
3	-0.0000066
3.02	0.000043
3.04	-0.0000137
3.06	-0.0000153
3.08	-0.0000008
3.1	-0.0000134
3.12	-0.0000538
3.14	0.0000532
3.16	-0.0000145
3.18	-0.0000101
3.2	0.0000175
3.22	-0.0000088
3.24	-0.0000393
3.26	0.0000374
3.28	-0.0000454
3.3	0.0000239
3.32	-0.0000364
3.34	0.0000165
3.36	0.0000083
3.38	-0.0000083
3.4	-0.0000123
3.42	-0.000017
3.44	-0.0000405
3.46	0.0000495
3.48	-0.0000314
3.5	0.0000268
3.52	-0.0000509
3.54	0.000013
3.56	-0.0000332
3.58	0.0000435
3.6	-0.0000328
