t (s)	ag  (m/s^2)
0	-0.0077
0.005	-0.0025
0.01	-0.0019
0.015	0.0035
0.02	0.0069
0.025	0.0037
0.03	0.0008
0.035	-0.0013
0.04	-0.0061
0.045	-0.0157
0.05	-0.0194
0.055	-0.0133
0.06	-0.0082
0.065	-0.0052
0.07	-0.0012
0.075	-0.0036
0.08	-0.0037
0.085	0.0065
0.09	0.0158
0.095	0.0187
0.1	0.0125
0.105	0.0033
0.11	-0.0086
0.115	-0.0218
0.12	-0.0245
0.125	-0.0188
0.13	-0.0102
0.135	-0.0032
0.14	0.0018
0.145	0.0008
0.15	-0.0029
0.155	0.003
0.16	0.0096
0.165	0.0146
0.17	0.0196
0.175	0.0177
0.18	0.014
0.185	0.0069
0.19	-0.0035
0.195	-0.0115
0.2	-0.0176
0.205	-0.0134
0.21	0.0032
0.215	0.0168
0.22	0.0173
0.225	0.0049
0.23	-0.007
0.235	-0.0127
0.24	-0.0159
0.245	-0.0052
0.25	0.0098
0.255	0.014
0.26	0.0107
0.265	0.0036
0.27	-0.0007
0.275	-0.0046
0.28	-0.0056
0.285	0.0009
0.29	0.0056
0.295	0.0042
0.3	0.0016
0.305	-0.0025
0.31	-0.0085
0.315	-0.0111
0.32	-0.0073
0.325	0.0011
0.33	0.0088
0.335	0.0088
0.34	0.0016
0.345	-0.0044
0.35	-0.0022
0.355	0.0092
0.36	0.0183
0.365	0.012
0.37	-0.0054
0.375	-0.0229
0.38	-0.0393
0.385	-0.0385
0.39	-0.0125
0.395	0.0054
0.4	0.0143
0.405	0.0273
0.41	0.0262
0.415	0.0164
0.42	0.0173
0.425	0.0228
0.43	0.0279
0.435	0.0359
0.44	0.0348
0.445	0.0169
0.45	-0.0097
0.455	-0.0327
0.46	-0.0491
0.465	-0.0555
0.47	-0.0412
0.475	-0.0131
0.48	0.017
0.485	0.0409
0.49	0.0446
0.495	0.0273
0.5	-0.0024
0.505	-0.0346
0.51	-0.0551
0.515	-0.055
0.52	-0.0303
0.525	-0.0044
0.53	0.0094
0.535	0.008
0.54	-0.0194
0.545	-0.0417
0.55	-0.0315
0.555	0.0099
0.56	0.053
0.565	0.0757
0.57	0.0584
0.575	0.0114
0.58	-0.0175
0.585	-0.0279
0.59	-0.0259
0.595	-0.0072
0.6	0.0126
0.605	0.0148
0.61	0.0055
0.615	-0.0016
0.62	-0.0107
0.625	-0.0136
0.63	-0.0068
0.635	0.0075
0.64	0.0303
0.645	0.0407
0.65	0.0372
0.655	0.0233
0.66	-0.0018
0.665	-0.0219
0.67	-0.0378
0.675	-0.0364
0.68	-0.0118
0.685	0.0137
0.69	0.0251
0.695	0.0148
0.7	-0.0087
0.705	-0.0243
0.71	-0.024
0.715	-0.0245
0.72	-0.0179
0.725	-0.0002
0.73	0.0062
0.735	0.0003
0.74	-0.0093
0.745	-0.0225
0.75	-0.0277
0.755	-0.0056
0.76	0.0247
0.765	0.0344
0.77	0.0196
0.775	-0.0093
0.78	-0.0281
0.785	-0.0333
0.79	-0.0325
0.795	-0.0058
0.8	0.0362
0.805	0.0622
0.81	0.053
0.815	0.0195
0.82	-0.0134
0.825	-0.0479
0.83	-0.0602
0.835	-0.0321
0.84	0.004
0.845	0.0245
0.85	0.0284
0.855	0.008
0.86	-0.0264
0.865	-0.0509
0.87	-0.058
0.875	-0.032
0.88	0.0129
0.885	0.0418
0.89	0.0451
0.895	0.0223
0.9	0.0021
0.905	0.0002
0.91	0.0105
0.915	0.0275
0.92	0.0414
0.925	0.0483
0.93	0.0304
0.935	-0.0065
0.94	-0.0395
0.945	-0.0661
0.95	-0.0642
0.955	-0.0255
0.96	0.0128
0.965	0.0238
0.97	0.0129
0.975	-0.001
0.98	-0.0124
0.985	-0.0142
0.99	0.0021
0.995	0.0142
1	0.0103
1.005	0.0099
1.01	0.0091
1.015	-0.0043
1.02	-0.0165
1.025	-0.0123
1.03	-0.0004
1.035	-0.0034
1.04	-0.0139
1.045	-0.0187
1.05	-0.0223
1.055	-0.0158
1.06	0.0045
1.065	0.0154
1.07	0.0146
1.075	0.0193
1.08	0.0216
1.085	0.017
1.09	0.0128
1.095	0.0136
1.1	0.0193
1.105	0.0282
1.11	0.0335
1.115	0.0171
1.12	-0.0102
1.125	-0.0225
1.13	-0.0093
1.135	0.0158
1.14	0.0265
1.145	0.0205
1.15	0.0082
1.155	-0.0029
1.16	-0.0102
1.165	-0.0147
1.17	-0.0184
1.175	-0.0233
1.18	-0.0261
1.185	-0.0277
1.19	-0.027
1.195	-0.0192
1.2	-0.0081
1.205	-0.0069
1.21	-0.0255
1.215	-0.0536
1.22	-0.0629
1.225	-0.0336
1.23	0.0151
1.235	0.0567
1.24	0.0754
1.245	0.0624
1.25	0.0377
1.255	0.0223
1.26	0.0159
1.265	0.0094
1.27	0.0077
1.275	0.014
1.28	-0.0017
1.285	-0.0253
1.29	-0.0337
1.295	-0.0392
1.3	-0.0271
1.305	0.0011
1.31	0.0206
1.315	0.0281
1.32	0.0228
1.325	0.0121
1.33	0.0056
1.335	-0.0023
1.34	-0.0059
1.345	0.0076
1.35	0.0255
1.355	0.0306
1.36	0.0251
1.365	0.0125
1.37	-0.0014
1.375	-0.0024
1.38	0.015
1.385	0.02
1.39	0.0085
1.395	-0.0007
1.4	-0.0061
1.405	-0.0069
1.41	-0.0118
1.415	-0.02
1.42	-0.0322
1.425	-0.0323
1.43	-0.0143
1.435	0.0001
1.44	0.0123
1.445	0.0228
1.45	0.0216
1.455	0.0052
1.46	-0.0108
1.465	-0.0156
1.47	-0.0172
1.475	-0.0109
1.48	-0.0115
1.485	-0.0266
1.49	-0.0402
1.495	-0.0449
1.5	-0.0178
1.505	0.0288
1.51	0.0657
1.515	0.0718
1.52	0.0434
1.525	0.0073
1.53	-0.0266
1.535	-0.0414
1.54	-0.022
1.545	0.0112
1.55	0.0224
1.555	0.0145
1.56	0.0027
1.565	-0.0108
1.57	-0.0147
1.575	-0.0098
1.58	-0.0026
1.585	0.0028
1.59	0.0125
1.595	0.0384
1.6	0.0571
1.605	0.0532
1.61	0.039
1.615	0.0149
1.62	-0.0127
1.625	-0.0286
1.63	-0.0209
1.635	0.0013
1.64	0.0142
1.645	0.0098
1.65	-0.0061
1.655	-0.0233
1.66	-0.0286
1.665	-0.0099
1.67	0.0193
1.675	0.0403
1.68	0.0463
1.685	0.0348
1.69	0.0132
1.695	-0.0211
1.7	-0.0531
1.705	-0.0629
1.71	-0.0543
1.715	-0.0253
1.72	0.0186
1.725	0.0575
1.73	0.0686
1.735	0.0362
1.74	-0.0159
1.745	-0.058
1.75	-0.0643
1.755	-0.0207
1.76	0.035
1.765	0.081
1.77	0.1031
1.775	0.08
1.78	0.0246
1.785	-0.0439
1.79	-0.0993
1.795	-0.0957
1.8	-0.0444
1.805	-0.009
1.81	0.0156
1.815	0.044
1.82	0.0471
1.825	0.027
1.83	0.0057
1.835	-0.0084
1.84	-0.0122
1.845	-0.0068
1.85	-0.0011
1.855	-0.0017
1.86	0.0012
1.865	0.0108
1.87	0.0135
1.875	-0.0024
1.88	-0.0255
1.885	-0.0425
1.89	-0.0288
1.895	0.0101
1.9	0.0324
1.905	0.0312
1.91	0.0074
1.915	-0.0232
1.92	-0.0353
1.925	-0.0144
1.93	0.0214
1.935	0.0484
1.94	0.0427
1.945	0.0006
1.95	-0.043
1.955	-0.0616
1.96	-0.0413
1.965	0.0071
1.97	0.0504
1.975	0.0626
1.98	0.0386
1.985	0.0007
1.99	-0.0196
1.995	-0.0185
2	-0.0078
2.005	-0.0033
2.01	-0.0054
2.015	-0.0074
2.02	-0.0074
2.025	0.0058
2.03	0.0289
2.035	0.0356
2.04	0.0302
2.045	0.0319
2.05	0.0339
2.055	0.0305
2.06	0.0141
2.065	-0.0045
2.07	-0.0205
2.075	-0.0241
2.08	0.0087
2.085	0.0419
2.09	0.0489
2.095	0.0395
2.1	-0.0005
2.105	-0.051
2.11	-0.0885
2.115	-0.0938
2.12	-0.0449
2.125	0.0228
2.13	0.081
2.135	0.0761
2.14	0.0065
2.145	-0.0602
2.15	-0.104
2.155	-0.0951
2.16	-0.0408
2.165	0.0023
2.17	0.0205
2.175	0.0134
2.18	-0.0298
2.185	-0.078
2.19	-0.1027
2.195	-0.0927
2.2	-0.0388
2.205	0.0259
2.21	0.076
2.215	0.0865
2.22	0.0522
2.225	0.0126
2.23	-0.0268
2.235	-0.0608
2.24	-0.0661
2.245	-0.0355
2.25	0.0185
2.255	0.068
2.26	0.0918
2.265	0.0707
2.27	0.0276
2.275	0.0042
2.28	0.0048
2.285	0.0262
2.29	0.0435
2.295	0.0336
2.3	0.0054
2.305	-0.0249
2.31	-0.0456
2.315	-0.046
2.32	-0.0292
2.325	0.0048
2.33	0.0459
2.335	0.0631
2.34	0.0607
2.345	0.0469
2.35	0.0239
2.355	0.0013
2.36	-0.0188
2.365	-0.0234
2.37	-0.0199
2.375	-0.0289
2.38	-0.0445
2.385	-0.0605
2.39	-0.0762
2.395	-0.0647
2.4	-0.0207
2.405	0.0156
2.41	0.0291
2.415	0.0364
2.42	0.0357
2.425	0.0114
2.43	-0.0166
2.435	-0.0263
2.44	-0.0201
2.445	0.0021
2.45	0.0074
2.455	-0.0353
2.46	-0.0897
2.465	-0.1077
2.47	-0.0798
2.475	-0.0191
2.48	0.0603
2.485	0.1276
2.49	0.1316
2.495	0.0543
2.5	-0.023
2.505	-0.0602
2.51	-0.0609
2.515	0.0102
2.52	0.1027
2.525	0.142
2.53	0.0652
2.535	-0.0945
2.54	-0.2061
2.545	-0.2548
2.55	-0.2112
2.555	-0.0724
2.56	0.0585
2.565	0.1522
2.57	0.195
2.575	0.1481
2.58	0.0307
2.585	-0.0599
2.59	-0.1035
2.595	-0.0787
2.6	0.027
2.605	0.125
2.61	0.181
2.615	0.1242
2.62	-0.0525
2.625	-0.1939
2.63	-0.2751
2.635	-0.2947
2.64	-0.1701
2.645	0.02
2.65	0.1583
2.655	0.2429
2.66	0.1887
2.665	0.0271
2.67	-0.0705
2.675	-0.1335
2.68	-0.1315
2.685	-0.0305
2.69	0.0494
2.695	0.074
2.7	0.0452
2.705	-0.0173
2.71	-0.0578
2.715	-0.0679
2.72	-0.0483
2.725	-0.0026
2.73	0.0358
2.735	0.0417
2.74	0.0205
2.745	-0.0001
2.75	0.0026
2.755	0.0239
2.76	0.0415
2.765	0.0444
2.77	0.0314
2.775	0.0096
2.78	-0.0136
2.785	-0.0308
2.79	-0.0271
2.795	-0.0128
2.8	-0.0009
